Athlete;Performance_Level;Earnings
Usain Bolt;9;800000
Serena Williams;10;750000
Michael Phelps;8;700000
Simone Biles;9;780000
Cristiano Ronaldo;9;850000
Lionel Messi;9;820000
LeBron James;10;900000
Tom Brady;10;880000
Katie Ledecky;8;720000
Novak Djokovic;9;830000
Rafael Nadal;9;810000
Naomi Osaka;8;740000
Floyd Mayweather Jr.;10;950000
Lewis Hamilton;9;840000
Megan Rapinoe;8;730000
Luka Modric;9;820000
Giannis Antetokounmpo;9;860000
Simona Halep;8;720000
Tom Daley;9;830000
Mikaela Shiffrin;8;710000
